datetime,Predicted Water Level,Observed Water Level
2024-01-01 00:00:00,0.071,0.199
2024-01-01 01:00:00,0.108,0.233
2024-01-01 02:00:00,0.126,0.233
2024-01-01 03:00:00,0.127,0.256
2024-01-01 04:00:00,0.11,0.229
2024-01-01 05:00:00,0.083,0.229
2024-01-01 06:00:00,0.056,0.176
2024-01-01 07:00:00,0.03,0.133
2024-01-01 08:00:00,0.009,0.099
2024-01-01 09:00:00,-0.003,0.088
2024-01-01 10:00:00,-0.006,0.063
2024-01-01 11:00:00,-0.009,0.088
2024-01-01 12:00:00,-0.028,0.02
2024-01-01 13:00:00,-0.063,0.001
2024-01-01 14:00:00,-0.11,-0.037
2024-01-01 15:00:00,-0.16,-0.068
2024-01-01 16:00:00,-0.208,-0.16
2024-01-01 17:00:00,-0.245,-0.231
2024-01-01 18:00:00,-0.258,-0.19
2024-01-01 19:00:00,-0.247,-0.196
2024-01-01 20:00:00,-0.214,-0.185
2024-01-01 21:00:00,-0.163,-0.098
2024-01-01 22:00:00,-0.098,-0.032
2024-01-01 23:00:00,-0.03,0.055
